team,opponent,year,round,match_date,result,home_away,venue,crowd,score,margin
North Melbourne Kangaroos,Essendon Bombers,1996,12,1996-06-23,W,H,Melbourne Cricket Ground,39515.0,,12
St Kilda Saints,West Coast Eagles,1996,12,1996-06-23,L,A,Domain Stadium,29434.0,,-33
Sydney Swans,Western Bulldogs,1996,12,1996-06-23,W,H,Sydney Cricket Ground,22689.0,,46
West Coast Eagles,St Kilda Saints,1996,12,1996-06-23,W,H,Domain Stadium,29434.0,,33
Western Bulldogs,Sydney Swans,1996,12,1996-06-23,L,A,Sydney Cricket Ground,22689.0,,-46
Collingwood Magpies,Richmond Tigers,1996,13,1996-06-28,L,A,Melbourne Cricket Ground,69072.0,,-23
Richmond Tigers,Collingwood Magpies,1996,13,1996-06-28,W,H,Melbourne Cricket Ground,69072.0,,23
Brisbane Bears,St Kilda Saints,1996,13,1996-06-29,L,A,Waverley Park,13824.0,,-46
Carlton Blues,Sydney Swans,1996,13,1996-06-29,L,H,Princes Park,20030.0,,-11
Essendon Bombers,Hawthorn Hawks,1996,13,1996-06-29,W,H,Melbourne Cricket Ground,43481.0,,21
Fitzroy Lions,Geelong Cats,1996,13,1996-06-29,L,H,Western Oval,10504.0,,-127
Fremantle Dockers,North Melbourne Kangaroos,1996,13,1996-06-29,L,H,WACA,19360.0,,-16
Geelong Cats,Fitzroy Lions,1996,13,1996-06-29,W,A,Western Oval,10504.0,,127
Hawthorn Hawks,Essendon Bombers,1996,13,1996-06-29,L,A,Melbourne Cricket Ground,43481.0,,-21
North Melbourne Kangaroos,Fremantle Dockers,1996,13,1996-06-29,W,A,WACA,19360.0,,16
St Kilda Saints,Brisbane Bears,1996,13,1996-06-29,W,H,Waverley Park,13824.0,,46
Sydney Swans,Carlton Blues,1996,13,1996-06-29,W,A,Princes Park,20030.0,,11
Adelaide Crows,Melbourne Demons,1996,13,1996-06-30,L,H,AAMI Stadium,37557.0,,-51
Melbourne Demons,Adelaide Crows,1996,13,1996-06-30,W,A,AAMI Stadium,37557.0,,51
West Coast Eagles,Western Bulldogs,1996,13,1996-06-30,W,A,Western Oval,11184.0,,12
Western Bulldogs,West Coast Eagles,1996,13,1996-06-30,L,H,Western Oval,11184.0,,-12
Carlton Blues,North Melbourne Kangaroos,1996,14,1996-07-05,L,A,Melbourne Cricket Ground,68537.0,,-55
North Melbourne Kangaroos,Carlton Blues,1996,14,1996-07-05,W,H,Melbourne Cricket Ground,68537.0,,55
Adelaide Crows,Brisbane Bears,1996,14,1996-07-06,W,H,AAMI Stadium,34183.0,,8
Brisbane Bears,Adelaide Crows,1996,14,1996-07-06,L,A,AAMI Stadium,34183.0,,-8
Collingwood Magpies,Hawthorn Hawks,1996,14,1996-07-06,L,A,Waverley Park,30886.0,,-33
Essendon Bombers,Fitzroy Lions,1996,14,1996-07-06,W,H,Princes Park,12748.0,,66
Fitzroy Lions,Essendon Bombers,1996,14,1996-07-06,L,A,Princes Park,12748.0,,-66
Hawthorn Hawks,Collingwood Magpies,1996,14,1996-07-06,W,H,Waverley Park,30886.0,,33
Richmond Tigers,West Coast Eagles,1996,14,1996-07-06,L,H,Melbourne Cricket Ground,37482.0,,-17
West Coast Eagles,Richmond Tigers,1996,14,1996-07-06,W,A,Melbourne Cricket Ground,37482.0,,17
Fremantle Dockers,St Kilda Saints,1996,14,1996-07-07,L,H,Domain Stadium,17697.0,,-23
Geelong Cats,Sydney Swans,1996,14,1996-07-07,L,A,Sydney Cricket Ground,44047.0,,-51
Melbourne Demons,Western Bulldogs,1996,14,1996-07-07,W,H,Melbourne Cricket Ground,22852.0,,27
St Kilda Saints,Fremantle Dockers,1996,14,1996-07-07,W,A,Domain Stadium,17697.0,,23
Sydney Swans,Geelong Cats,1996,14,1996-07-07,W,H,Sydney Cricket Ground,44047.0,,51
Western Bulldogs,Melbourne Demons,1996,14,1996-07-07,L,A,Melbourne Cricket Ground,22852.0,,-27
Fitzroy Lions,West Coast Eagles,1996,15,1996-07-12,L,A,WACA,22044.0,,-68
West Coast Eagles,Fitzroy Lions,1996,15,1996-07-12,W,H,WACA,22044.0,,68
Adelaide Crows,Carlton Blues,1996,15,1996-07-13,L,A,Princes Park,20102.0,,-67
Carlton Blues,Adelaide Crows,1996,15,1996-07-13,W,H,Princes Park,20102.0,,67
Collingwood Magpies,North Melbourne Kangaroos,1996,15,1996-07-13,W,H,Melbourne Cricket Ground,34514.0,,61
Geelong Cats,Hawthorn Hawks,1996,15,1996-07-13,L,H,GMHBA Stadium,22207.0,,-2
Hawthorn Hawks,Geelong Cats,1996,15,1996-07-13,W,A,GMHBA Stadium,22207.0,,2
North Melbourne Kangaroos,Collingwood Magpies,1996,15,1996-07-13,L,A,Melbourne Cricket Ground,34514.0,,-61
St Kilda Saints,Sydney Swans,1996,15,1996-07-13,L,H,Waverley Park,34337.0,,-17
Sydney Swans,St Kilda Saints,1996,15,1996-07-13,W,A,Waverley Park,34337.0,,17
Brisbane Bears,Essendon Bombers,1996,15,1996-07-14,W,H,The Gabba,20378.0,,35
Essendon Bombers,Brisbane Bears,1996,15,1996-07-14,L,A,The Gabba,20378.0,,-35
Fremantle Dockers,Western Bulldogs,1996,15,1996-07-14,L,A,Western Oval,8674.0,,-18
Melbourne Demons,Richmond Tigers,1996,15,1996-07-14,L,H,Melbourne Cricket Ground,41380.0,,-46
Richmond Tigers,Melbourne Demons,1996,15,1996-07-14,W,A,Melbourne Cricket Ground,41380.0,,46
Western Bulldogs,Fremantle Dockers,1996,15,1996-07-14,W,H,Western Oval,8674.0,,18
North Melbourne Kangaroos,St Kilda Saints,1996,16,1996-07-19,W,H,Melbourne Cricket Ground,24778.0,,89
St Kilda Saints,North Melbourne Kangaroos,1996,16,1996-07-19,L,A,Melbourne Cricket Ground,24778.0,,-89
Brisbane Bears,Western Bulldogs,1996,16,1996-07-20,W,A,Western Oval,9994.0,,14
Carlton Blues,Hawthorn Hawks,1996,16,1996-07-20,L,A,Waverley Park,28670.0,,-49
Essendon Bombers,Richmond Tigers,1996,16,1996-07-20,W,H,Melbourne Cricket Ground,58768.0,,20
Geelong Cats,Melbourne Demons,1996,16,1996-07-20,W,H,GMHBA Stadium,17538.0,,58
Hawthorn Hawks,Carlton Blues,1996,16,1996-07-20,W,H,Waverley Park,28670.0,,49
Melbourne Demons,Geelong Cats,1996,16,1996-07-20,L,A,GMHBA Stadium,17538.0,,-58
Richmond Tigers,Essendon Bombers,1996,16,1996-07-20,L,A,Melbourne Cricket Ground,58768.0,,-20
Western Bulldogs,Brisbane Bears,1996,16,1996-07-20,L,H,Western Oval,9994.0,,-14
Adelaide Crows,Sydney Swans,1996,16,1996-07-21,L,A,Sydney Cricket Ground,29174.0,,-22
Collingwood Magpies,Fitzroy Lions,1996,16,1996-07-21,W,H,Victoria Park,23567.0,,40
Fitzroy Lions,Collingwood Magpies,1996,16,1996-07-21,L,A,Victoria Park,23567.0,,-40
Fremantle Dockers,West Coast Eagles,1996,16,1996-07-21,L,A,Domain Stadium,35406.0,,-34
Sydney Swans,Adelaide Crows,1996,16,1996-07-21,W,H,Sydney Cricket Ground,29174.0,,22
West Coast Eagles,Fremantle Dockers,1996,16,1996-07-21,W,H,Domain Stadium,35406.0,,34
Melbourne Demons,North Melbourne Kangaroos,1996,17,1996-07-26,L,H,Melbourne Cricket Ground,20955.0,,-113
North Melbourne Kangaroos,Melbourne Demons,1996,17,1996-07-26,W,A,Melbourne Cricket Ground,20955.0,,113
Brisbane Bears,West Coast Eagles,1996,17,1996-07-27,W,H,The Gabba,15772.0,,47
Carlton Blues,Essendon Bombers,1996,17,1996-07-27,W,A,Melbourne Cricket Ground,65420.0,,9
Essendon Bombers,Carlton Blues,1996,17,1996-07-27,L,H,Melbourne Cricket Ground,65420.0,,-9
Geelong Cats,St Kilda Saints,1996,17,1996-07-27,L,A,Waverley Park,24289.0,,-24
Hawthorn Hawks,Richmond Tigers,1996,17,1996-07-27,L,A,Princes Park,19081.0,,-41
Richmond Tigers,Hawthorn Hawks,1996,17,1996-07-27,W,H,Princes Park,19081.0,,41
St Kilda Saints,Geelong Cats,1996,17,1996-07-27,W,H,Waverley Park,24289.0,,24
West Coast Eagles,Brisbane Bears,1996,17,1996-07-27,L,A,The Gabba,15772.0,,-47
Adelaide Crows,Fitzroy Lions,1996,17,1996-07-28,W,H,AAMI Stadium,31880.0,,99
Collingwood Magpies,Western Bulldogs,1996,17,1996-07-28,W,H,Melbourne Cricket Ground,28776.0,,6
Fitzroy Lions,Adelaide Crows,1996,17,1996-07-28,L,A,AAMI Stadium,31880.0,,-99
Fremantle Dockers,Sydney Swans,1996,17,1996-07-28,W,H,Domain Stadium,17513.0,,26
Sydney Swans,Fremantle Dockers,1996,17,1996-07-28,L,A,Domain Stadium,17513.0,,-26
Western Bulldogs,Collingwood Magpies,1996,17,1996-07-28,L,A,Melbourne Cricket Ground,28776.0,,-6
Hawthorn Hawks,North Melbourne Kangaroos,1996,18,1996-08-02,L,A,Melbourne Cricket Ground,28555.0,,-31
North Melbourne Kangaroos,Hawthorn Hawks,1996,18,1996-08-02,W,H,Melbourne Cricket Ground,28555.0,,31
Adelaide Crows,Geelong Cats,1996,18,1996-08-03,L,A,GMHBA Stadium,17818.0,,-35
Carlton Blues,Fremantle Dockers,1996,18,1996-08-03,W,H,Princes Park,15277.0,,61
Collingwood Magpies,St Kilda Saints,1996,18,1996-08-03,L,A,Waverley Park,30065.0,,-10
Fremantle Dockers,Carlton Blues,1996,18,1996-08-03,L,A,Princes Park,15277.0,,-61
Geelong Cats,Adelaide Crows,1996,18,1996-08-03,W,H,GMHBA Stadium,17818.0,,35
St Kilda Saints,Collingwood Magpies,1996,18,1996-08-03,W,H,Waverley Park,30065.0,,10
Brisbane Bears,Richmond Tigers,1996,18,1996-08-04,W,H,Princes Park,17157.0,,17
Essendon Bombers,West Coast Eagles,1996,18,1996-08-04,L,A,Domain Stadium,37669.0,,-6
Fitzroy Lions,Western Bulldogs,1996,18,1996-08-04,L,H,Western Oval,8757.0,,-15
Melbourne Demons,Sydney Swans,1996,18,1996-08-04,L,A,Sydney Cricket Ground,18850.0,,-63
Richmond Tigers,Brisbane Bears,1996,18,1996-08-04,L,A,Princes Park,17157.0,,-17
Sydney Swans,Melbourne Demons,1996,18,1996-08-04,W,H,Sydney Cricket Ground,18850.0,,63
West Coast Eagles,Essendon Bombers,1996,18,1996-08-04,W,H,Domain Stadium,37669.0,,6
Western Bulldogs,Fitzroy Lions,1996,18,1996-08-04,W,A,Western Oval,8757.0,,15
Collingwood Magpies,Fremantle Dockers,1996,19,1996-08-09,L,A,WACA,22874.0,,-24
Fremantle Dockers,Collingwood Magpies,1996,19,1996-08-09,W,H,WACA,22874.0,,24
Adelaide Crows,Essendon Bombers,1996,19,1996-08-10,L,A,Princes Park,15794.0,,-36
Carlton Blues,Melbourne Demons,1996,19,1996-08-10,L,A,Melbourne Cricket Ground,30166.0,,-19
Essendon Bombers,Adelaide Crows,1996,19,1996-08-10,W,H,Princes Park,15794.0,,36
Fitzroy Lions,St Kilda Saints,1996,19,1996-08-10,L,H,Western Oval,7781.0,,-53
Geelong Cats,West Coast Eagles,1996,19,1996-08-10,W,H,GMHBA Stadium,21081.0,,45
Hawthorn Hawks,Western Bulldogs,1996,19,1996-08-10,W,H,Waverley Park,14914.0,,67
Melbourne Demons,Carlton Blues,1996,19,1996-08-10,W,H,Melbourne Cricket Ground,30166.0,,19
St Kilda Saints,Fitzroy Lions,1996,19,1996-08-10,W,A,Western Oval,7781.0,,53
West Coast Eagles,Geelong Cats,1996,19,1996-08-10,L,A,GMHBA Stadium,21081.0,,-45
Western Bulldogs,Hawthorn Hawks,1996,19,1996-08-10,L,A,Waverley Park,14914.0,,-67
Brisbane Bears,North Melbourne Kangaroos,1996,19,1996-08-11,W,H,Princes Park,15453.0,,18
North Melbourne Kangaroos,Brisbane Bears,1996,19,1996-08-11,L,A,Princes Park,15453.0,,-18
Richmond Tigers,Sydney Swans,1996,19,1996-08-11,L,A,Sydney Cricket Ground,28541.0,,-48
Sydney Swans,Richmond Tigers,1996,19,1996-08-11,W,H,Sydney Cricket Ground,28541.0,,48
Fremantle Dockers,Melbourne Demons,1996,20,1996-08-16,L,A,Melbourne Cricket Ground,15494.0,,-21
Melbourne Demons,Fremantle Dockers,1996,20,1996-08-16,W,H,Melbourne Cricket Ground,15494.0,,21
Adelaide Crows,North Melbourne Kangaroos,1996,20,1996-08-17,L,H,AAMI Stadium,33030.0,,-6
Brisbane Bears,Fitzroy Lions,1996,20,1996-08-17,W,H,Princes Park,6469.0,,87
Fitzroy Lions,Brisbane Bears,1996,20,1996-08-17,L,A,Princes Park,6469.0,,-87
Geelong Cats,Richmond Tigers,1996,20,1996-08-17,L,A,Melbourne Cricket Ground,50633.0,,-65
Hawthorn Hawks,Sydney Swans,1996,20,1996-08-17,L,H,Waverley Park,28897.0,,-23
North Melbourne Kangaroos,Adelaide Crows,1996,20,1996-08-17,W,A,AAMI Stadium,33030.0,,6
Richmond Tigers,Geelong Cats,1996,20,1996-08-17,W,H,Melbourne Cricket Ground,50633.0,,65
Sydney Swans,Hawthorn Hawks,1996,20,1996-08-17,W,A,Waverley Park,28897.0,,23
Carlton Blues,West Coast Eagles,1996,20,1996-08-18,L,A,Domain Stadium,40085.0,,-59
Collingwood Magpies,Essendon Bombers,1996,20,1996-08-18,L,H,Melbourne Cricket Ground,51057.0,,-13
Essendon Bombers,Collingwood Magpies,1996,20,1996-08-18,W,A,Melbourne Cricket Ground,51057.0,,13
St Kilda Saints,Western Bulldogs,1996,20,1996-08-18,L,A,Princes Park,7677.0,,-38
West Coast Eagles,Carlton Blues,1996,20,1996-08-18,W,H,Domain Stadium,40085.0,,59
Western Bulldogs,St Kilda Saints,1996,20,1996-08-18,W,H,Princes Park,7677.0,,38
Geelong Cats,North Melbourne Kangaroos,1996,21,1996-08-23,W,A,Melbourne Cricket Ground,52426.0,,13
North Melbourne Kangaroos,Geelong Cats,1996,21,1996-08-23,L,H,Melbourne Cricket Ground,52426.0,,-13
Brisbane Bears,Fremantle Dockers,1996,21,1996-08-24,W,H,The Gabba,19204.0,,1
Carlton Blues,Western Bulldogs,1996,21,1996-08-24,W,H,Princes Park,21674.0,,30
Essendon Bombers,Sydney Swans,1996,21,1996-08-24,W,H,Melbourne Cricket Ground,69237.0,,18
Fremantle Dockers,Brisbane Bears,1996,21,1996-08-24,L,A,The Gabba,19204.0,,-1
Hawthorn Hawks,St Kilda Saints,1996,21,1996-08-24,W,A,Waverley Park,28118.0,,17
St Kilda Saints,Hawthorn Hawks,1996,21,1996-08-24,L,H,Waverley Park,28118.0,,-17
Sydney Swans,Essendon Bombers,1996,21,1996-08-24,L,A,Melbourne Cricket Ground,69237.0,,-18
Western Bulldogs,Carlton Blues,1996,21,1996-08-24,L,A,Princes Park,21674.0,,-30
Adelaide Crows,Collingwood Magpies,1996,21,1996-08-25,L,H,AAMI Stadium,40212.0,,-57
Collingwood Magpies,Adelaide Crows,1996,21,1996-08-25,W,A,AAMI Stadium,40212.0,,57
Fitzroy Lions,Richmond Tigers,1996,21,1996-08-25,L,A,Melbourne Cricket Ground,48884.0,,-151
Melbourne Demons,West Coast Eagles,1996,21,1996-08-25,L,A,Domain Stadium,33689.0,,-73
Richmond Tigers,Fitzroy Lions,1996,21,1996-08-25,W,H,Melbourne Cricket Ground,48884.0,,151
West Coast Eagles,Melbourne Demons,1996,21,1996-08-25,W,H,Domain Stadium,33689.0,,73
Essendon Bombers,Western Bulldogs,1996,22,1996-08-30,W,H,Melbourne Cricket Ground,42598.0,,3
Western Bulldogs,Essendon Bombers,1996,22,1996-08-30,L,A,Melbourne Cricket Ground,42598.0,,-3
Adelaide Crows,St Kilda Saints,1996,22,1996-08-31,L,A,Waverley Park,14778.0,,-69
Brisbane Bears,Collingwood Magpies,1996,22,1996-08-31,L,A,Victoria Park,21126.0,,-49
Carlton Blues,Geelong Cats,1996,22,1996-08-31,W,A,GMHBA Stadium,27659.0,,42
Collingwood Magpies,Brisbane Bears,1996,22,1996-08-31,W,H,Victoria Park,21126.0,,49
Geelong Cats,Carlton Blues,1996,22,1996-08-31,L,H,GMHBA Stadium,27659.0,,-42
Hawthorn Hawks,Melbourne Demons,1996,22,1996-08-31,W,A,Melbourne Cricket Ground,63196.0,,1
Melbourne Demons,Hawthorn Hawks,1996,22,1996-08-31,L,H,Melbourne Cricket Ground,63196.0,,-1
St Kilda Saints,Adelaide Crows,1996,22,1996-08-31,W,H,Waverley Park,14778.0,,69
Sydney Swans,West Coast Eagles,1996,22,1996-08-31,W,H,Sydney Cricket Ground,29517.0,,35
West Coast Eagles,Sydney Swans,1996,22,1996-08-31,L,A,Sydney Cricket Ground,29517.0,,-35
Fitzroy Lions,Fremantle Dockers,1996,22,1996-09-01,L,A,Domain Stadium,22574.0,,-86
Fremantle Dockers,Fitzroy Lions,1996,22,1996-09-01,W,H,Domain Stadium,22574.0,,86
North Melbourne Kangaroos,Richmond Tigers,1996,22,1996-09-01,W,A,Melbourne Cricket Ground,61740.0,,32
Richmond Tigers,North Melbourne Kangaroos,1996,22,1996-09-01,L,H,Melbourne Cricket Ground,61740.0,,-32
Brisbane Bears,Essendon Bombers,1996,QF,1996-09-06,W,H,The Gabba,21964.0,,1
Essendon Bombers,Brisbane Bears,1996,QF,1996-09-06,L,A,The Gabba,21964.0,,-1
Carlton Blues,West Coast Eagles,1996,QF,1996-09-07,L,A,Domain Stadium,41501.0,,-55
Hawthorn Hawks,Sydney Swans,1996,QF,1996-09-07,L,A,Sydney Cricket Ground,37010.0,,-6
Sydney Swans,Hawthorn Hawks,1996,QF,1996-09-07,W,H,Sydney Cricket Ground,37010.0,,6
West Coast Eagles,Carlton Blues,1996,QF,1996-09-07,W,H,Domain Stadium,41501.0,,55
Geelong Cats,North Melbourne Kangaroos,1996,QF,1996-09-08,L,A,Melbourne Cricket Ground,69323.0,,-60
North Melbourne Kangaroos,Geelong Cats,1996,QF,1996-09-08,W,H,Melbourne Cricket Ground,69323.0,,60
Brisbane Bears,Carlton Blues,1996,SF,1996-09-14,W,H,The Gabba,21767.0,,97
Carlton Blues,Brisbane Bears,1996,SF,1996-09-14,L,A,The Gabba,21767.0,,-97
Essendon Bombers,West Coast Eagles,1996,SF,1996-09-14,W,H,Melbourne Cricket Ground,85656.0,,77
West Coast Eagles,Essendon Bombers,1996,SF,1996-09-14,L,A,Melbourne Cricket Ground,85656.0,,-77
Brisbane Bears,North Melbourne Kangaroos,1996,PF,1996-09-21,L,A,Melbourne Cricket Ground,66719.0,,-38
Essendon Bombers,Sydney Swans,1996,PF,1996-09-21,L,A,Sydney Cricket Ground,41731.0,,-1
North Melbourne Kangaroos,Brisbane Bears,1996,PF,1996-09-21,W,H,Melbourne Cricket Ground,66719.0,,38
Sydney Swans,Essendon Bombers,1996,PF,1996-09-21,W,H,Sydney Cricket Ground,41731.0,,1
North Melbourne Kangaroos,Sydney Swans,1996,GF,1996-09-28,W,H,Melbourne Cricket Ground,93102.0,,43
Sydney Swans,North Melbourne Kangaroos,1996,GF,1996-09-28,L,A,Melbourne Cricket Ground,93102.0,,-43
Melbourne Demons,North Melbourne Kangaroos,1997,1,1997-03-27,W,A,Melbourne Cricket Ground,35802.0,,15
North Melbourne Kangaroos,Melbourne Demons,1997,1,1997-03-27,L,H,Melbourne Cricket Ground,35802.0,,-15
Collingwood Magpies,Port Adelaide Power,1997,1,1997-03-29,W,H,Melbourne Cricket Ground,51883.0,,79
Fremantle Dockers,Western Bulldogs,1997,1,1997-03-29,W,A,Princes Park,8664.0,,4
Hawthorn Hawks,St Kilda Saints,1997,1,1997-03-29,W,A,Waverley Park,35732.0,,6
Port Adelaide Power,Collingwood Magpies,1997,1,1997-03-29,L,A,Melbourne Cricket Ground,51883.0,,-79
St Kilda Saints,Hawthorn Hawks,1997,1,1997-03-29,L,H,Waverley Park,35732.0,,-6
Sydney Swans,West Coast Eagles,1997,1,1997-03-29,L,A,Domain Stadium,29965.0,,-41
West Coast Eagles,Sydney Swans,1997,1,1997-03-29,W,H,Domain Stadium,29965.0,,41
Western Bulldogs,Fremantle Dockers,1997,1,1997-03-29,L,H,Princes Park,8664.0,,-4
Adelaide Crows,Brisbane Lions,1997,1,1997-03-30,W,H,AAMI Stadium,36602.0,,36
Brisbane Lions,Adelaide Crows,1997,1,1997-03-30,L,A,AAMI Stadium,36602.0,,-36
Geelong Cats,Richmond Tigers,1997,1,1997-03-30,L,A,Melbourne Cricket Ground,48358.0,,-9
Richmond Tigers,Geelong Cats,1997,1,1997-03-30,W,H,Melbourne Cricket Ground,48358.0,,9
Carlton Blues,Essendon Bombers,1997,1,1997-03-31,L,A,Melbourne Cricket Ground,82363.0,,-7
Essendon Bombers,Carlton Blues,1997,1,1997-03-31,W,H,Melbourne Cricket Ground,82363.0,,7
Collingwood Magpies,Melbourne Demons,1997,2,1997-04-04,W,A,Melbourne Cricket Ground,61138.0,,107
Melbourne Demons,Collingwood Magpies,1997,2,1997-04-04,L,H,Melbourne Cricket Ground,61138.0,,-107
Adelaide Crows,Richmond Tigers,1997,2,1997-04-05,L,A,Melbourne Cricket Ground,32880.0,,-28
Geelong Cats,West Coast Eagles,1997,2,1997-04-05,W,H,GMHBA Stadium,17988.0,,6
Richmond Tigers,Adelaide Crows,1997,2,1997-04-05,W,H,Melbourne Cricket Ground,32880.0,,28
Sydney Swans,Western Bulldogs,1997,2,1997-04-05,L,A,Princes Park,12604.0,,-7
West Coast Eagles,Geelong Cats,1997,2,1997-04-05,L,A,GMHBA Stadium,17988.0,,-6
Western Bulldogs,Sydney Swans,1997,2,1997-04-05,W,H,Princes Park,12604.0,,7
Brisbane Lions,St Kilda Saints,1997,2,1997-04-06,W,H,The Gabba,17123.0,,97
Essendon Bombers,Port Adelaide Power,1997,2,1997-04-06,W,A,AAMI Stadium,32747.0,,33
Fremantle Dockers,Hawthorn Hawks,1997,2,1997-04-06,W,H,Domain Stadium,19057.0,,14
Hawthorn Hawks,Fremantle Dockers,1997,2,1997-04-06,L,A,Domain Stadium,19057.0,,-14
Port Adelaide Power,Essendon Bombers,1997,2,1997-04-06,L,H,AAMI Stadium,32747.0,,-33
St Kilda Saints,Brisbane Lions,1997,2,1997-04-06,L,A,The Gabba,17123.0,,-97
Carlton Blues,North Melbourne Kangaroos,1997,2,1997-04-07,L,A,Melbourne Cricket Ground,38170.0,,-26
North Melbourne Kangaroos,Carlton Blues,1997,2,1997-04-07,W,H,Melbourne Cricket Ground,38170.0,,26
Melbourne Demons,Sydney Swans,1997,3,1997-04-11,L,A,Sydney Cricket Ground,23598.0,,-8
Sydney Swans,Melbourne Demons,1997,3,1997-04-11,W,H,Sydney Cricket Ground,23598.0,,8
Collingwood Magpies,St Kilda Saints,1997,3,1997-04-12,L,A,Waverley Park,54699.0,,-7
Geelong Cats,Port Adelaide Power,1997,3,1997-04-12,L,A,AAMI Stadium,32074.0,,-39
Port Adelaide Power,Geelong Cats,1997,3,1997-04-12,W,H,AAMI Stadium,32074.0,,39
Richmond Tigers,Western Bulldogs,1997,3,1997-04-12,L,H,Melbourne Cricket Ground,35438.0,,-19
St Kilda Saints,Collingwood Magpies,1997,3,1997-04-12,W,H,Waverley Park,54699.0,,7
Western Bulldogs,Richmond Tigers,1997,3,1997-04-12,W,A,Melbourne Cricket Ground,35438.0,,19
Adelaide Crows,Carlton Blues,1997,3,1997-04-13,L,A,Princes Park,25966.0,,-28
Brisbane Lions,Hawthorn Hawks,1997,3,1997-04-13,L,A,Waverley Park,27947.0,,-12
Carlton Blues,Adelaide Crows,1997,3,1997-04-13,W,H,Princes Park,25966.0,,28
Essendon Bombers,North Melbourne Kangaroos,1997,3,1997-04-13,W,H,Melbourne Cricket Ground,57978.0,,42
Fremantle Dockers,West Coast Eagles,1997,3,1997-04-13,L,A,Domain Stadium,39294.0,,-40
Hawthorn Hawks,Brisbane Lions,1997,3,1997-04-13,W,H,Waverley Park,27947.0,,12
North Melbourne Kangaroos,Essendon Bombers,1997,3,1997-04-13,L,A,Melbourne Cricket Ground,57978.0,,-42
West Coast Eagles,Fremantle Dockers,1997,3,1997-04-13,W,H,Domain Stadium,39294.0,,40
Melbourne Demons,Western Bulldogs,1997,4,1997-04-18,L,H,Melbourne Cricket Ground,28043.0,,-2
Western Bulldogs,Melbourne Demons,1997,4,1997-04-18,W,A,Melbourne Cricket Ground,28043.0,,2
Carlton Blues,Collingwood Magpies,1997,4,1997-04-19,W,A,Melbourne Cricket Ground,78704.0,,17
Collingwood Magpies,Carlton Blues,1997,4,1997-04-19,L,H,Melbourne Cricket Ground,78704.0,,-17
Fremantle Dockers,Richmond Tigers,1997,4,1997-04-19,L,A,Princes Park,15461.0,,-5
Hawthorn Hawks,West Coast Eagles,1997,4,1997-04-19,L,A,Domain Stadium,38222.0,,-24
Richmond Tigers,Fremantle Dockers,1997,4,1997-04-19,W,H,Princes Park,15461.0,,5
St Kilda Saints,Sydney Swans,1997,4,1997-04-19,L,H,Waverley Park,35061.0,,-46
Sydney Swans,St Kilda Saints,1997,4,1997-04-19,W,A,Waverley Park,35061.0,,46
West Coast Eagles,Hawthorn Hawks,1997,4,1997-04-19,W,H,Domain Stadium,38222.0,,24
Adelaide Crows,Port Adelaide Power,1997,4,1997-04-20,L,H,AAMI Stadium,47256.0,,-11
Brisbane Lions,North Melbourne Kangaroos,1997,4,1997-04-20,W,H,The Gabba,18575.0,,26
Essendon Bombers,Geelong Cats,1997,4,1997-04-20,L,H,Melbourne Cricket Ground,54922.0,,-7
Geelong Cats,Essendon Bombers,1997,4,1997-04-20,W,A,Melbourne Cricket Ground,54922.0,,7
North Melbourne Kangaroos,Brisbane Lions,1997,4,1997-04-20,L,A,The Gabba,18575.0,,-26
Port Adelaide Power,Adelaide Crows,1997,4,1997-04-20,W,A,AAMI Stadium,47256.0,,11
Collingwood Magpies,Essendon Bombers,1997,5,1997-04-25,W,A,Melbourne Cricket Ground,83271.0,,29
Essendon Bombers,Collingwood Magpies,1997,5,1997-04-25,L,H,Melbourne Cricket Ground,83271.0,,-29
Fremantle Dockers,St Kilda Saints,1997,5,1997-04-25,W,H,Domain Stadium,23504.0,,6
St Kilda Saints,Fremantle Dockers,1997,5,1997-04-25,L,A,Domain Stadium,23504.0,,-6
Adelaide Crows,Western Bulldogs,1997,5,1997-04-26,W,A,Princes Park,12694.0,,50
Hawthorn Hawks,Sydney Swans,1997,5,1997-04-26,W,H,Waverley Park,37576.0,,25
Melbourne Demons,West Coast Eagles,1997,5,1997-04-26,L,H,Melbourne Cricket Ground,19655.0,,-48
Sydney Swans,Hawthorn Hawks,1997,5,1997-04-26,L,A,Waverley Park,37576.0,,-25
West Coast Eagles,Melbourne Demons,1997,5,1997-04-26,W,A,Melbourne Cricket Ground,19655.0,,48
Western Bulldogs,Adelaide Crows,1997,5,1997-04-26,L,H,Princes Park,12694.0,,-50
Brisbane Lions,Port Adelaide Power,1997,5,1997-04-27,L,A,AAMI Stadium,31757.0,,-2
Carlton Blues,Geelong Cats,1997,5,1997-04-27,L,H,Princes Park,25801.0,,-8
Geelong Cats,Carlton Blues,1997,5,1997-04-27,W,A,Princes Park,25801.0,,8
North Melbourne Kangaroos,Richmond Tigers,1997,5,1997-04-27,W,H,Melbourne Cricket Ground,44449.0,,95
Port Adelaide Power,Brisbane Lions,1997,5,1997-04-27,W,H,AAMI Stadium,31757.0,,2
Richmond Tigers,North Melbourne Kangaroos,1997,5,1997-04-27,L,A,Melbourne Cricket Ground,44449.0,,-95
West Coast Eagles,Western Bulldogs,1997,6,1997-05-02,L,H,WACA,29838.0,,-14
Western Bulldogs,West Coast Eagles,1997,6,1997-05-02,W,A,WACA,29838.0,,14
